model,condition,kind,label,tp,fp,fn,precision,recall,f1
Sol,Gstar,entity,OBS-DP,467,65,130,0.8778195488721805,0.7822445561139029,0.8272807794508416
Sol,Gstar,entity,OBS-DA,186,15,19,0.9253731343283582,0.9073170731707317,0.9162561576354681
Sol,Gstar,entity,OBS-U,75,52,22,0.5905511811023622,0.7731958762886598,0.6696428571428571
Sol,Gstar,relation,Modify,506,189,225,0.7280575539568346,0.6922024623803009,0.7096774193548386
Sol,Gstar,relation,LocatedAt,256,107,116,0.7052341597796143,0.6881720430107527,0.6965986394557823
Sol,Gstar,relation,SuggestiveOf,31,38,33,0.4492753623188406,0.484375,0.4661654135338346
Sol,joint,entity,ANAT,661,56,26,0.9218967921896792,0.9621542940320232,0.9415954415954415
Sol,joint,entity,OBS-DP,493,54,104,0.9012797074954296,0.8257956448911222,0.8618881118881119
Sol,joint,entity,OBS-DA,190,15,15,0.926829268292683,0.926829268292683,0.926829268292683
Sol,joint,entity,OBS-U,78,50,19,0.609375,0.8041237113402062,0.6933333333333334
Sol,joint,relation,Modify,534,177,197,0.7510548523206751,0.7305061559507524,0.740638002773925
Sol,joint,relation,LocatedAt,264,111,108,0.704,0.7096774193548387,0.7068273092369478
Sol,joint,relation,SuggestiveOf,33,39,31,0.4583333333333333,0.515625,0.4852941176470589
Sol,human,entity,ANAT,615,57,72,0.9151785714285714,0.8951965065502183,0.9050772626931567
Sol,human,entity,OBS-DP,450,84,147,0.8426966292134831,0.7537688442211056,0.7957559681697612
Sol,human,entity,OBS-DA,185,7,20,0.9635416666666666,0.9024390243902439,0.9319899244332494
Sol,human,entity,OBS-U,74,56,23,0.5692307692307692,0.7628865979381443,0.6519823788546255
Sol,human,relation,Modify,451,208,280,0.6843702579666161,0.6169630642954856,0.6489208633093525
Sol,human,relation,LocatedAt,240,150,132,0.6153846153846154,0.6451612903225806,0.6299212598425198
Sol,human,relation,SuggestiveOf,35,43,29,0.44871794871794873,0.546875,0.4929577464788733
